"LOINC_CODE","LOINC_NAME","LOINC_COMPONENT","LOINC_PROPERTY","LOINC_TIMEASPECT","LOINC_SYSTEM","LOINC_SCALE","LOINC_METHOD"
"64110-0",Interpretation,Interpretation,Imp,Pt,^Patient,Nom,
"56495-5",Lutropin [Units/volume] in Serum or Plasma --3 hours post XXX challenge,Lutropin^3H post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"42874-8",CD18 cells/100 cells in Bone marrow,Cells.CD18/100 cells,NFr,Pt,Bone mar,Qn,
"5379-3",Platelet Ab [Units/volume] in Serum,Platelet Ab,ACnc,Pt,Ser,Qn,
"35083-5",Amino acids panel [Moles/volume] in Serum or Plasma,Amino acids panel,SCnc,Pt,Ser/Plas,Qn,
"30160-6",Tau protein [Mass/volume] in Cerebral spinal fluid,Tau protein,MCnc,Pt,CSF,Qn,
"781-5",Promyelocytes [#/volume] in Blood by Manual count,Promyelocytes,NCnc,Pt,Bld,Qn,Manual count
"748-4",Myelocytes [#/volume] in Blood by Manual count,Myelocytes,NCnc,Pt,Bld,Qn,Manual count
"42864-9",CD103 cells/100 cells in Body fluid,Cells.CD103/100 cells,NFr,Pt,Body fld,Qn,
"2280-6",Fibronectin [Mass/volume] in Plasma,Fibronectin,MCnc,Pt,Plas,Qn,
"8126-5",CD38 cells/100 cells in Blood,Cells.CD38/100 cells,NFr,Pt,Bld,Qn,
"17206-4",CD9 cells/100 cells in Blood,Cells.CD9/100 cells,NFr,Pt,Bld,Qn,
"51375-4",CD9 cells/100 cells in Cerebral spinal fluid,Cells.CD9/100 cells,NFr,Pt,CSF,Qn,
"23629-9",Para aminosalicylate [Susceptibility],Para aminosalicylate,Susc,Pt,Isolate,OrdQn,
"14018-6",CD23 cells/100 cells in Blood,Cells.CD23/100 cells,NFr,Pt,Bld,Qn,
"8102-6",CD33 cells/100 cells in Blood,Cells.CD33/100 cells,NFr,Pt,Bld,Qn,
"51295-4",CD36 cells/100 cells in Cerebral spinal fluid,Cells.CD36/100 cells,NFr,Pt,CSF,Qn,
"49681-0",CD36 cells/100 cells in Body fluid,Cells.CD36/100 cells,NFr,Pt,Body fld,Qn,
"8109-1",CD11c cells/100 cells in Blood,Cells.CD11c/100 cells,NFr,Pt,Bld,Qn,
"51364-8",CD64 cells/100 cells in Cerebral spinal fluid,Cells.CD64/100 cells,NFr,Pt,CSF,Qn,
"44487-7",Herpes simplex virus 2 [Presence] in Genital specimen by Organism specific culture,Herpes simplex virus 2,ACnc,Pt,Genital,Ord,Organism specific culture
"17812-9",Alpha 1 globulin/Protein.total in Body fluid by Electrophoresis,Alpha 1 globulin/Protein.total,MFr,Pt,Body fld,Qn,Electrophoresis
"51250-9",CD15 cells/100 cells in Cerebral spinal fluid,Cells.CD15/100 cells,NFr,Pt,CSF,Qn,
"53962-7",Alpha-1-fetoprotein.tumor marker [Mass/volume] in Serum or Plasma,Alpha-1-Fetoprotein.tumor marker,MCnc,Pt,Ser/Plas,Qn,
"42177-6",Fc epsilon RI Ab [Presence] in Serum,Fc epsilon RI Ab,ACnc,Pt,Ser,Ord,
"2924-9",Riboflavin [Mass/volume] in Serum or Plasma,Riboflavin,MCnc,Pt,Ser/Plas,Qn,
"5993-1",Platelet aggregation arachidonate induced [Substance threshold] in Platelet rich plasma,Platelet aggregation.arachidonate induced,ThrSCnc,Pt,PRP,Qn,
"43153-6",Blood coagulation device panel,Blood coagulation device panel,-,Pt,^Patient,-,
"51356-4",CD19+CD58+ cells/100 cells in Blood,Cells.CD19+CD58+/100 cells,NFr,Pt,Bld,Qn,
"17137-1",CD30 cells/100 cells in Blood,Cells.CD30/100 cells,NFr,Pt,Bld,Qn,
"51339-0",CD45 (Lymphs) cells/100 cells in Cerebral spinal fluid,Cells.CD45/100 cells,NFr,Pt,CSF,Qn,
"51298-8",CD38 cells/100 cells in Bone marrow,Cells.CD38/100 cells,NFr,Pt,Bone mar,Qn,
"9591-9",Borrelia burgdorferi 30kD IgG Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 30kD Ab.IgG,ACnc,Pt,Ser,Ord,IB
"51251-7",CD15 cells/100 cells in Bone marrow,Cells.CD15/100 cells,NFr,Pt,Bone mar,Qn,
"19261-7",Amphetamines [Presence] in Urine by Screen method,Amphetamines,ACnc,Pt,Urine,Ord,Screen
"13660-6",Gonadotropin releasing hormone [Mass/volume] in Serum or Plasma,Gonadotropin releasing hormone,MCnc,Pt,Ser/Plas,Qn,
"27826-7",Insulin [Units/volume] in Serum or Plasma --2 hours post XXX challenge,Insulin^2H post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"14652-2",Clomipramine [Moles/volume] in Serum or Plasma,Clomipramine,SCnc,Pt,Ser/Plas,Qn,
"11486-8",Chemotherapy records,Chemotherapy records,Find,-,^Patient,Doc,
"20761-3",Clostridium difficile [Presence] in Stool by Agglutination,Clostridium difficile,ACnc,Pt,Stool,Ord,Aggl
"41470-6",Atazanavir [Mass/volume] in Serum or Plasma,Atazanavir,MCnc,Pt,Ser/Plas,Qn,
"9710-5",Coxiella burnetii phase 1 IgM Ab [Titer] in Serum,Coxiella burnetii phase 1 Ab.IgM,Titr,Pt,Ser,Qn,
"22211-7",Coxiella burnetii Ab [Titer] in Serum,Coxiella burnetii Ab,Titr,Pt,Ser,Qn,
"1777-2",Alkaline phosphatase.bone [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase.bone,CCnc,Pt,Ser/Plas,Qn,
"54390-0",Fibroblast growth factor 23.intact [Mass/volume] in Plasma,Fibroblast growth factor 23.intact,MCnc,Pt,Plas,Qn,
"53015-4",Nucleosome Ab [Presence] in Serum,Nucleosome Ab,ACnc,Pt,Ser,Ord,
"8071-3",Histone Ab [Presence] in Serum,Histone Ab,ACnc,Pt,Ser,Ord,
"52810-9","Current medication, Frequency",Frequency,NRat,Pt,Medication.current,Qn,
"5792-7",Glucose [Mass/volume] in Urine by Test strip,Glucose,MCnc,Pt,Urine,Qn,Test strip
"18484-6",Ku Ab [Presence] in Serum,Ku Ab,ACnc,Pt,Ser,Ord,
"48309-9",BK virus DNA [#/volume] (viral load) in Unspecified specimen by Probe and target amplification method,BK virus DNA,NCnc,Pt,XXX,Qn,Probe.amp.tar
"65756-9",Salmonella sp serovar [Type] in Isolate,Salmonella sp serovar,Type,Pt,Isolate,Nom,
"19049-6",Metanephrine [Mass/time] in 24 hour Urine,Metanephrine,MRat,"24H",Urine,Qn,
"58981-2",Timothy recombinant (rPhl p) 5b IgE Ab [Units/volume] in Serum,Phleum pratense recombinant (rPhl p) 5b Ab.IgE,ACnc,Pt,Ser,Qn,
"55605-0",Parakeet feather IgE Ab [Presence] in Serum,Parakeet feather Ab.IgE,ACnc,Pt,Ser,Ord,
"7564-8",Parakeet droppings IgE Ab [Units/volume] in Serum,Parakeet droppings Ab.IgE,ACnc,Pt,Ser,Qn,
"21428-8",Black Olive IgE Ab [Units/volume] in Serum,Olea europaea black Ab.IgE,ACnc,Pt,Ser,Qn,
"7060-7",Abalone IgE Ab [Units/volume] in Serum,Haliotis spp Ab.IgE,ACnc,Pt,Ser,Qn,
"56748-7",Norovirus RNA [Presence] in Unspecified specimen by Probe and target amplification method,Norovirus RNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"42960-5",Salmonella typhi H Ab [Titer] in Serum,Salmonella typhi H Ab,Titr,Pt,Ser,Qn,
"34395-4",Food Allergen Mix 27 (Hazelnut+Codfish+Soybean+Wheat) IgE Ab [Presence] in Serum by Multidisk,(Corylus avellana+Gadus morhua+Glycine max+Triticum aestivum) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"34429-1",Timothy recombinant (rPhl p) 1 + 5b IgE Ab [Units/volume] in Serum,Phleum pratense recombinant (rPhl p) 1+5b Ab.IgE,ACnc,Pt,Ser,Qn,
"30170-5",American Cockroach IgE Ab [Units/volume] in Serum,Periplaneta americana Ab.IgE,ACnc,Pt,Ser,Qn,
"56595-2",Latex recombinant (rHev b) 3 IgE Ab [Units/volume] in Serum,Latex recombinant (rHev b) 3 Ab.IgE,ACnc,Pt,Ser,Qn,
"173-5",Chloramphenicol [Susceptibility] by Minimum inhibitory concentration (MIC),Chloramphenicol,Susc,Pt,Isolate,OrdQn,MIC
"185-9",Ciprofloxacin [Susceptibility] by Minimum inhibitory concentration (MIC),Ciprofloxacin,Susc,Pt,Isolate,OrdQn,MIC
"142-0",Ceftriaxone [Susceptibility] by Disk diffusion (KB),Ceftriaxone,Susc,Pt,Isolate,OrdQn,Agar diffusion
"22577-1",Toxoplasma gondii Ab [Presence] in Serum,Toxoplasma gondii Ab,ACnc,Pt,Ser,Ord,
"22582-1",Toxoplasma gondii IgG Ab [Titer] in Serum,Toxoplasma gondii Ab.IgG,Titr,Pt,Ser,Qn,
"50649-3",Latex recombinant(rHev b) 6.02 IgE Ab [Units/volume] in Serum,Latex recombinant (rHev b) 6.02 Ab.IgE,ACnc,Pt,Ser,Qn,
"59395-4",Latex recombinant (rHev b) 9 IgE Ab [Units/volume] in Serum,Latex recombinant (rHev b) 9 Ab.IgE,ACnc,Pt,Ser,Qn,
"6026-9",Aspergillus terreus IgE Ab [Units/volume] in Serum,Aspergillus terreus Ab.IgE,ACnc,Pt,Ser,Qn,
"23933-5",Staphylococcus aureus enterotoxin B [Presence] in Unspecified specimen,Staphylococcus aureus enterotoxin B,ACnc,Pt,XXX,Ord,
"35788-9",Daptomycin [Susceptibility] by Minimum inhibitory concentration (MIC),Daptomycin,Susc,Pt,Isolate,OrdQn,MIC
"241-0",Ethambutol [Susceptibility] by Minimum inhibitory concentration (MIC),Ethambutol,Susc,Pt,Isolate,OrdQn,MIC
"363-2",Nitrofurantoin [Susceptibility] by Minimum inhibitory concentration (MIC),Nitrofurantoin,Susc,Pt,Isolate,OrdQn,MIC
"287-3",Isoniazid [Susceptibility] by Minimum inhibitory concentration (MIC),Isoniazid,Susc,Pt,Isolate,OrdQn,MIC
"49101-9",Helicobacter pylori DNA [Presence] in Unspecified specimen by Probe and target amplification method,Helicobacter pylori DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"58984-6",Bromelin MUXF3 IgE Ab [Units/volume] in Serum,Bromelin MUXF3 Ab.IgE,ACnc,Pt,Ser,Qn,
"40789-0",Japanese hop IgE Ab [Units/volume] in Serum,Humulus japonicus Ab.IgE,ACnc,Pt,Ser,Qn,
"331-9",Mezlocillin [Susceptibility] by Minimum inhibitory concentration (MIC),Mezlocillin,Susc,Pt,Isolate,OrdQn,MIC
"420-0",Polymyxin B [Susceptibility] by Minimum inhibitory concentration (MIC),Polymyxin B,Susc,Pt,Isolate,OrdQn,MIC
"21406-4",Mycoplasma pneumoniae IgM Ab [Presence] in Serum,Mycoplasma pneumoniae Ab.IgM,ACnc,Pt,Ser,Ord,
"51728-4",Platelet aggregation ADP induced [Presence] in Platelet rich plasma --10 um,Platelet aggregation.adenosine diphosphate induced^10 um,ACnc,Pt,PRP,Ord,
"56007-8",Platelet aggregation arachidonate induced [Substance threshold] in Blood --500 um,Platelet aggregation.arachidonate induced^500 um,ThrSCnc,Pt,Bld,Qn,
"33764-2",STX (Shiga toxin) gene [Identifier] in Unspecified specimen by Probe and target amplification method,STX gene,Prid,Pt,XXX,Nom,Probe.amp.tar
"50748-3",Alpha-2-Macroglobulin/Creatinine [Mass ratio] in Urine,Alpha-2-Macroglobulin/Creatinine,MCrto,Pt,Urine,Qn,
"15148-0",Alkaline phosphatase [Enzymatic activity/volume] in Body fluid,Alkaline phosphatase,CCnc,Pt,Body fld,Qn,
"7958-2",Leishmania sp Ab [Presence] in Serum,Leishmania sp Ab,ACnc,Pt,Ser,Ord,
"12722-5",Insulin-like growth factor binding protein 1 [Mass/volume] in Serum or Plasma,Insulin-like growth factor binding protein 1,MCnc,Pt,Ser/Plas,Qn,
"48335-4",Aspergillus sp Ag [Presence] in Tissue by Immune stain,Aspergillus sp Ag,ACnc,Pt,Tiss,Ord,Immune stain
"5294-4",Respiratory syncytial virus Ab [Titer] in Serum by Complement fixation,Respiratory syncytial virus Ab,Titr,Pt,Ser,Qn,Comp fix
"25514-1",Rubella virus IgG Ab [Presence] in Serum,Rubella virus Ab.IgG,ACnc,Pt,Ser,Ord,
"27908-3",Coxsackievirus B1 Ab [Presence] in Cerebral spinal fluid,Coxsackievirus B1 Ab,ACnc,Pt,CSF,Ord,
"53199-6",Palmitoylcarnitine (C16) [Moles/volume] in Dried blood spot,Palmitoylcarnitine (C16),SCnc,Pt,Bld.dot,Qn,
"34634-6",CD11+CD18+ cells [#/volume] in Leukocytes,Cells.CD11+CD18+,NCnc,Pt,WBC,Qn,
"31564-8",Polio virus 1 Ab [Units/volume] in Cerebral spinal fluid,Polio virus 1 Ab,ACnc,Pt,CSF,Qn,
"5195-3",Hepatitis B virus surface Ag [Presence] in Serum,Hepatitis B virus surface Ag,ACnc,Pt,Ser,Ord,
"25678-4",Glucose [Mass/volume] in Urine --1.5 hours post dose glucose,Glucose^1.5H post dose glucose,MCnc,Pt,Urine,Qn,
"58505-9",C peptide [Mass/volume] in Serum or Plasma --2.5 hours post dose glucose,C peptide^2.5H post dose glucose,MCnc,Pt,Ser/Plas,Qn,
"58518-2",C peptide [Mass/volume] in Serum or Plasma --5 hours post dose glucose,C peptide^5H post dose glucose,MCnc,Pt,Ser/Plas,Qn,
"26463-0",Large unstained cells/100 leukocytes in Blood,Large unstained cells/100 leukocytes,NFr,Pt,Bld,Qn,
"31982-2",Varicella zoster virus Ag [Presence] in Unspecified specimen,Varicella zoster virus Ag,ACnc,Pt,XXX,Ord,
"31864-2",Influenza virus B Ag [Presence] in Unspecified specimen,Influenza virus B Ag,ACnc,Pt,XXX,Ord,
"47770-3",Somatotropin [Units/volume] in Serum or Plasma --30 minutes post dose insulin IV,Somatotropin^30M post dose insulin IV,ACnc,Pt,Ser/Plas,Qn,
"26596-7",Hydroxyproline [Moles/volume] in Cerebral spinal fluid,Hydroxyproline,SCnc,Pt,CSF,Qn,
"26597-5",Phosphoethanolamine [Moles/volume] in Cerebral spinal fluid,Phosphoethanolamine,SCnc,Pt,CSF,Qn,
"22642-3",Tyrosine [Moles/volume] in Cerebral spinal fluid,Tyrosine,SCnc,Pt,CSF,Qn,
"22646-4",Phenylalanine [Moles/volume] in Cerebral spinal fluid,Phenylalanine,SCnc,Pt,CSF,Qn,
"6298-4",Potassium [Moles/volume] in Blood,Potassium,SCnc,Pt,Bld,Qn,
"7906-1",Hepatitis day virus RNA [Presence] in Serum by Probe and target amplification method,Hepatitis D virus RNA,ACnc,Pt,Ser,Ord,Probe.amp.tar
"9453-2",Histidine [Moles/volume] in Cerebral spinal fluid,Histidine,SCnc,Pt,CSF,Qn,
"26591-8",Carnosine [Moles/volume] in Cerebral spinal fluid,Carnosine,SCnc,Pt,CSF,Qn,
"26595-9",Hydroxylysine [Moles/volume] in Cerebral spinal fluid,Hydroxylysine,SCnc,Pt,CSF,Qn,
"22656-3",Arginine [Moles/volume] in Cerebral spinal fluid,Arginine,SCnc,Pt,CSF,Qn,
"5115-1",Corynebacterium diphtheriae Ab [Units/volume] in Serum,Corynebacterium diphtheriae Ab,ACnc,Pt,Ser,Qn,
"54091-4",Rubella virus RNA [Presence] in Unspecified specimen by Probe and target amplification method,Rubella virus RNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"10860-5",Varicella zoster virus [Presence] in Unspecified specimen by Organism specific culture,Varicella zoster virus,ACnc,Pt,XXX,Ord,Organism specific culture
"57587-8",Aldosterone [Moles/volume] in Serum or Plasma --2 hours post XXX challenge,Aldosterone^2H post XXX challenge,SCnc,Pt,Ser/Plas,Qn,
"3405-8",Bromazepam [Mass/volume] in Serum or Plasma,Bromazepam,MCnc,Pt,Ser/Plas,Qn,
"12362-0",Oxazepam [Presence] in Serum or Plasma,Oxazepam,ACnc,Pt,Ser/Plas,Ord,
"3858-8",Nitrazepam [Mass/volume] in Serum or Plasma,Nitrazepam,MCnc,Pt,Ser/Plas,Qn,
"33914-3",Glomerular filtration rate/1.73 sq M.predicted by Creatinine-based formula (MDRD),Glomerular filtration rate/1.73 sq M.predicted,ArVRat,Pt,Ser/Plas,Qn,Creatinine-based formula (MDRD)
"53160-8",Propionylcarnitine (C3) [Moles/volume] in Dried blood spot,Propionylcarnitine (C3),SCnc,Pt,Bld.dot,Qn,
"50106-4","3-Hydroxyisovalerylcarnitine (C5-OH) [Moles/volume] in Dried blood spot","3-Hydroxyisovalerylcarnitine (C5-OH)",SCnc,Pt,Bld.dot,Qn,
"53175-6",Octanoylcarnitine (C8) [Moles/volume] in Dried blood spot,Octanoylcarnitine (C8),SCnc,Pt,Bld.dot,Qn,
"53180-6",Decadienoylcarnitine (C10:2) [Moles/volume] in Dried blood spot,Decadienoylcarnitine (C10:2),SCnc,Pt,Bld.dot,Qn,
"53191-3",Tetradecenoylcarnitine (C14:1) [Moles/volume] in Dried blood spot,Tetradecenoylcarnitine (C14:1),SCnc,Pt,Bld.dot,Qn,
"53192-1",Tetradecanoylcarnitine (C14) [Moles/volume] in Dried blood spot,Tetradecanoylcarnitine (C14),SCnc,Pt,Bld.dot,Qn,
"30934-4",Natriutietic peptide B [Mass/volume] in Serum or Plasma,Natriuretic peptide.B,MCnc,Pt,Ser/Plas,Qn,
"16569-6",Ceftriaxone IgE Ab [Mass/volume] in Serum,Ceftriaxone Ab.IgE,MCnc,Pt,Ser,Qn,
"51332-5",CD43 cells/100 cells in Body fluid,Cells.CD43/100 cells,NFr,Pt,Body fld,Qn,
"16935-9",Hepatitis B virus surface Ab [Units/volume] in Serum,Hepatitis B virus surface Ab,ACnc,Pt,Ser,Qn,
"13248-0",Hepatitis D virus Ab [Presence] in Serum,Hepatitis D virus Ab,ACnc,Pt,Ser,Ord,
"5103-7",Coxsackievirus B1 Ab [Titer] in Serum by Neutralization test,Coxsackievirus B1 Ab,Titr,Pt,Ser,Qn,Neut
"51367-1",CD79a cells/100 cells in Bone marrow,Cells.CD79a/100 cells,NFr,Pt,Bone mar,Qn,
"45194-8",Choriogonadotropin.intact+Beta subunit [Units/volume] in Serum or Plasma,Choriogonadotropin.intact+Beta subunit,ACnc,Pt,Ser/Plas,Qn,
"51043-8",CD123 blasts/100 blasts in Bone marrow,Blasts.CD123/100 blasts,NFr,Pt,Bone mar,Qn,
"29956-0",Lysozyme [Mass/volume] in Body fluid,Lysozyme,MCnc,Pt,Body fld,Qn,
"17177-7",CD59 cells/100 cells in Blood,Cells.CD59/100 cells,NFr,Pt,Bld,Qn,
"51357-2",CD59 cells/100 cells in Cerebral spinal fluid,Cells.CD59/100 cells,NFr,Pt,CSF,Qn,
"5109-4",Coxsackievirus B4 Ab [Titer] in Serum by Neutralization test,Coxsackievirus B4 Ab,Titr,Pt,Ser,Qn,Neut
"5111-0",Coxsackievirus B5 Ab [Titer] in Serum by Neutralization test,Coxsackievirus B5 Ab,Titr,Pt,Ser,Qn,Neut
"47432-0",Epstein Barr virus capsid IgG Ab [Titer] in Body fluid,Epstein Barr virus capsid Ab.IgG,Titr,Pt,Body fld,Qn,
"26063-8",European tick borne encephalitis virus IgM Ab [Units/volume] in Serum,European tick borne encephalitis virus Ab.IgM,ACnc,Pt,Ser,Qn,
"26620-5",Hantavirus IgG Ab [Presence] in Serum,Hantavirus Ab.IgG,ACnc,Pt,Ser,Ord,
"43023-1",Herpes virus 7 IgG Ab [Titer] in Serum,Herpes virus 7 Ab.IgG,Titr,Pt,Ser,Qn,
"51368-9",CD79a cells/100 cells in Body fluid,Cells.CD79a/100 cells,NFr,Pt,Body fld,Qn,
"5241-5",Lymphocytic choriomeningitis virus Ab [Titer] in Serum by Complement fixation,Lymphocytic choriomeningitis virus Ab,Titr,Pt,Ser,Qn,Comp fix
"5268-8",Parainfluenza virus 1 Ab [Titer] in Serum by Complement fixation,Parainfluenza virus 1 Ab,Titr,Pt,Ser,Qn,Comp fix
"1485-2",Gastrin [Mass/volume] in Serum or Plasma --15 minutes post 0.2 U/kg secretin,Gastrin^15M post 0.2 U/kg secretin,MCnc,Pt,Ser/Plas,Qn,
"56511-9",Calcitonin [Mass/volume] in Serum or Plasma --2 minutes post XXX challenge,Calcitonin^2M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"15154-8",Blasts [Presence] in Blood by Automated count,Blasts,ACnc,Pt,Bld,Ord,Automated count
"14890-8",Progesterone [Moles/volume] in Serum or Plasma,Progesterone,SCnc,Pt,Ser/Plas,Qn,
"22600-1",Varicella zoster virus Ab [Presence] in Serum,Varicella zoster virus Ab,ACnc,Pt,Ser,Ord,
"40019-2",Glucose [Mass/volume] in Serum or Plasma --20 hours post XXX challenge,Glucose^20H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"29151-8",Somatotropin [Mass/volume] in Serum or Plasma --4 hours post XXX challenge,Somatotropin^4H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"2193-1",Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma,Dehydroepiandrosterone,MCnc,Pt,Ser/Plas,Qn,
"46407-3",Somatotropin [Mass/volume] in Serum or Plasma --1.5 hours post 1 g/kg glucose PO,Somatotropin^1.5H post 1 g/kg glucose PO,MCnc,Pt,Ser/Plas,Qn,
"38518-7",Granulocytes Immature/100 leukocytes in Blood,Granulocytes.immature/100 leukocytes,NFr,Pt,Bld,Qn,
"29909-9",Parainfluenza virus 2 RNA [Presence] in Unspecified specimen by Probe and target amplification method,Parainfluenza virus 2 RNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"54905-5",Norovirus 1 RNA [Presence] in Stool by Probe and target amplification method,Norovirus 1 RNA,ACnc,Pt,Stool,Ord,Probe.amp.tar
"55361-0",Osmolality of Urine--baseline,Osmolality^baseline,Osmol,Pt,Urine,Qn,
"1608-9",Osmolality of Urine--8 hours post fluid fast,Osmolality^post 8H FFst,Osmol,Pt,Urine,Qn,
"29674-9",Bordetella pertussis IgG Ab [Presence] in Serum,Bordetella pertussis Ab.IgG,ACnc,Pt,Ser,Ord,
"29672-3",Bordetella pertussis IgA Ab [Presence] in Serum,Bordetella pertussis Ab.IgA,ACnc,Pt,Ser,Ord,
"21167-2",CD61 cells/100 cells in Unspecified specimen,Cells.CD61/100 cells,NFr,Pt,XXX,Qn,
"47664-8",Insulin [Units/volume] in Serum or Plasma --3 minutes post dose glucose,Insulin^3M post dose glucose,ACnc,Pt,Ser/Plas,Qn,
"21614-3",CDKN2A gene deletion [Presence] in Blood or Tissue by Molecular genetics method,CDKN2A gene deletion,Arb,Pt,Bld/Tiss,Ord,Molgen
"10462-0",Alpha 1 antitrypsin Ag [Presence] in Tissue by Immune stain,Alpha 1 antitrypsin Ag,ACnc,Pt,Tiss,Ord,Immune stain
"30080-6",Cathepsin D [Presence] in Tissue by Immune stain,Cathepsin D,ACnc,Pt,Tiss,Ord,Immune stain
"50588-3",Glucose tolerance 5H panel in Serum or Plasma,Glucose tolerance 5H panel,-,-,Ser/Plas,Qn,
"47019-5",CD8 Ag [Presence] in Tissue by Immune stain,CD8 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"26543-9",Glucose [Mass/volume] in Serum or Plasma --5 hours post dose glucose,Glucose^5H post dose glucose,MCnc,Pt,Ser/Plas,Qn,
"50750-9",F13 A1 gene p.V34L [Presence] in Blood or Tissue by Molecular genetics method,F13 A1 gene.p.V34L,Arb,Pt,Bld/Tiss,Ord,Molgen
"69004-0",Granulocytes Immature/100 leukocytes in Body fluid,Granulocytes.immature/100 leukocytes,NFr,Pt,Body fld,Qn,
"10488-5",IgA Ag [Presence] in Tissue by Immune stain,IgA Ag,ACnc,Pt,Tiss,Ord,Immune stain
"10755-7",Fungus.microscopic observation [Identifier] in Tissue by Methenamine silver stain.Grocott,Fungus.microscopic observation,Prid,Pt,Tiss,Nom,Methenamine silver stain.Grocott
"10749-0",Collagen fibers.microscopic observation [Identifier] in Tissue by Van Gieson stain,Collagen fibers.microscopic observation,Prid,Pt,Tiss,Nom,Van Gieson stain
"16827-8",Epstein Barr virus capsid IgG Ab [Presence] in Cerebral spinal fluid,Epstein Barr virus capsid Ab.IgG,ACnc,Pt,CSF,Ord,
"57761-9",Platelet Ab.heparin induced [Presence] in Serum by Immunoassay,Platelet Ab.heparin induced,ACnc,Pt,Ser,Ord,EIA
"49919-4",Interleukin 6 [Mass/volume] in Cerebral spinal fluid,Interleukin 6,MCnc,Pt,CSF,Qn,
"23864-2",Flunitrazepam [Mass/volume] in Serum or Plasma,Flunitrazepam,MCnc,Pt,Ser/Plas,Qn,
"58952-3",Testosterone free and total panel [Mass/volume] in Serum or Plasma,Testosterone free & total panel,MCnc,Pt,Ser/Plas,Qn,
"49963-2",Fibrillarin Ab [Presence] in Serum,Fibrillarin Ab,ACnc,Pt,Ser,Ord,
"17858-2",Gamma glutamyl transferase [Enzymatic activity/volume] in Body fluid,Gamma glutamyl transferase,CCnc,Pt,Body fld,Qn,
"14152-3",Bilirubin.direct [Mass/volume] in Body fluid,Bilirubin.glucuronidated+Bilirubin.albumin bound,MCnc,Pt,Body fld,Qn,
"57694-2",Cortisol [Mass/volume] in Saliva --7th specimen,Cortisol^7th specimen,MCnc,Pt,Saliva,Qn,
"33052-2",Leukocytes [Presence] in Urine,Leukocytes,ACnc,Pt,Urine,Ord,
"2532-0",Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,Lactate dehydrogenase,CCnc,Pt,Ser/Plas,Qn,
"15152-2",Bilirubin.conjugated [Mass/volume] in Serum or Plasma,Bilirubin.glucuronidated,MCnc,Pt,Ser/Plas,Qn,
"14118-4",Lactate [Mass/volume] in Serum or Plasma,Lactate,MCnc,Pt,Ser/Plas,Qn,
"3169-0",Volume of Unspecified specimen,Specimen volume,Vol,Pt,XXX,Qn,
"2004-0",Calcium [Moles/volume] in Urine,Calcium,SCnc,Pt,Urine,Qn,
"3095-7",Urea nitrogen [Mass/volume] in Urine,Urea nitrogen,MCnc,Pt,Urine,Qn,
"3173-2",Activated partial thromboplastin time (aPTT) in Blood by Coagulation assay,Coagulation surface induced,Time,Pt,Bld,Qn,Coag
"3243-3",Thrombin time in Platelet poor plasma by Coagulation assay,Coagulation thrombin induced,Time,Pt,PPP,Qn,Coag
"27811-9",Antithrombin actual/normal in Platelet poor plasma by Chromogenic method,Antithrombin actual/Normal,RelCCnc,Pt,PPP,Qn,Chromo
"26453-1",Erythrocytes [#/volume] in Blood,Erythrocytes,NCnc,Pt,Bld,Qn,
"10328-3",Lymphocytes/100 leukocytes in Cerebral spinal fluid by Manual count,Lymphocytes/100 leukocytes,NFr,Pt,CSF,Qn,Manual count
"42207-1",IgG.CSF/IgG.serum,IgG.CSF/IgG.serum,RelMCnc,Pt,Ser+CSF,Qn,
"22125-9",Borrelia burgdorferi IgG Ab [Presence] in Cerebral spinal fluid,Borrelia burgdorferi Ab.IgG,ACnc,Pt,CSF,Ord,
